input	target	source_rule	freq	edit_count	seed	freq_bucket
moovilizaron	movilizaron	typo	8.32e-07	1	42	2
rqeuerirá	requerirá	typo	2.19e-06	2	42	3
plastc	plaste	ocr_confusion	0.0	1	42	0
ultiomátum	ultimátum	typo	1.7e-06	1	42	3
bísidó	bífido	ocr_confusion	0.0	2	42	0
vericveto	vericueto	historical	0.0	1	42	1
eestátor	estátor	typo	0.0	1	42	1
açalefo	acalefo	historical	0.0	1	42	2
pasara	pasara	identity	1.12e-05	0	42	4
machcante	machacante	typo	0.0	1	42	0
incestuosameñfe	incestuosamente	ocr_confusion	0.0	2	42	0
minál	minal	ocr_confusion	0.0	1	42	1
exfirpar	extirpar	ocr_confusion	7.08e-07	1	42	2
experienciaí	experiencial	ocr_confusion	0.0	1	42	0
marra	mara	typo	4.07e-06	1	42	4
bona	bona	identity	1e-06	0	42	3
mesaa	mesa	typo	8.32e-05	1	42	4
trapecisla	trapecista	ocr_confusion	0.0	1	42	0
sintéticamenle	sintéticamente	ocr_confusion	0.0	1	42	0
qvemarlo	quemarlo	historical	5.75e-07	1	42	2
recordaban	recordaban	identity	8.51e-07	0	42	2
fabulosaméñfc	fabulosamente	ocr_confusion	0.0	4	42	2
seyo	seto	typo	0.0	1	42	1
conciencudo	concienzudo	historical	0.0	1	42	0
alcvcero	alcucero	historical	0.0	1	42	1
ceabdera	cebadera	typo	0.0	2	42	0
esttupida	estupida	typo	1.91e-06	1	42	3
ceromañcia	ceromancia	ocr_confusion	0.0	1	42	0
abocinár	abocinar	ocr_confusion	0.0	1	42	2
cxpresamente	expresamente	ocr_confusion	6.76e-06	1	42	4
cursiua	cursiva	historical	1.15e-06	1	42	3
grvtas	grutas	historical	9.12e-07	1	42	2
cslaoha	estacha	ocr_confusion	0.0	3	42	1
çapoteco	zapoteco	historical	0.0	1	42	1
rvstiquez	rustiquez	historical	0.0	1	42	1
trafador	tratador	ocr_confusion	0.0	1	42	0
conbocado	convocado	historical	7.59e-06	1	42	4
joxan	jodan	typo	6.17e-06	1	42	4
experimenlador	experimentador	ocr_confusion	0.0	1	42	2
histoiretista	historietista	typo	0.0	2	42	2
pejegatto	pejegallo	ocr_confusion	0.0	2	42	1
filfrañte	filtrante	ocr_confusion	0.0	2	42	1
vúéccncia	vuecencia	ocr_confusion	0.0	3	42	1
cisternnas	cisternas	typo	8.71e-07	1	42	2
collilas	colillas	typo	6.46e-07	2	42	2
asatiov	asativo	typo	0.0	2	42	2
fuelgo	huelgo	historical	0.0	1	42	0
artificiosa	artificiosa	identity	0.0	0	42	1
eñvergonzar	envergonzar	ocr_confusion	0.0	1	42	0
saçrificar	sacrificar	historical	5.75e-06	1	42	4
mílo	milo	ocr_confusion	1.51e-06	1	42	3
lltis	litis	ocr_confusion	0.0	1	42	0
aterieras	aterieras	identity	0.0	0	42	0
píinto	plinto	ocr_confusion	0.0	1	42	0
desbaniado	desbañado	historical	0.0	2	42	0
culaque	zulaque	historical	0.0	1	42	0
adlolonador	adicionador	ocr_confusion	0.0	3	42	0
semençera	semencera	historical	0.0	1	42	2
ferrador	herrador	historical	0.0	1	42	0
remvdamiento	remudamiento	historical	0.0	1	42	1
simultáneo	simultáneo	identity	1.86e-06	0	42	3
dekas	dejas	typo	2.24e-05	1	42	4
enllocar	enllocar	identity	0.0	0	42	1
ilimitadamente	ilimitadamente	identity	0.0	0	42	0
urqto	urato	typo	0.0	1	42	0
iopear	jopear	historical	0.0	1	42	1
páiaros	pájaros	historical	1.02e-05	1	42	4
recorva	recorvar	typo	0.0	1	42	1
lánas	lanas	ocr_confusion	5.89e-07	1	42	2
safirizar	satirizar	ocr_confusion	0.0	1	42	0
cúlpar	culpar	ocr_confusion	7.94e-06	1	42	4
borujo	borujo	identity	0.0	0	42	2
salvia	saliva	typo	3.55e-06	2	42	4
fapoñes	tapones	ocr_confusion	2e-06	2	42	3
reçinchar	recinchar	historical	0.0	1	42	1
cóljco	cólico	typo	0.0	1	42	1
saquéar	saquear	ocr_confusion	2.14e-06	1	42	3
oliveira	oliveira	identity	2.45e-06	0	42	3
grtado	gritado	typo	1.35e-06	1	42	3
tendoñes	tendones	ocr_confusion	9.77e-07	1	42	3
garantíría	garantiría	ocr_confusion	0.0	1	42	1
mcrcaderil	mercaderil	ocr_confusion	0.0	1	42	2
electorero	electorero	identity	0.0	0	42	2
enxuentras	encuentras	typo	1.78e-05	1	42	4
gordira	gordura	typo	6.61e-07	1	42	2
pechibíanco	pechiblanco	ocr_confusion	0.0	1	42	0
orangista	orangista	identity	0.0	0	42	0
pudieseis	pudieseis	identity	0.0	0	42	0
desplegañdó	desplegando	ocr_confusion	8.13e-07	2	42	2
rocambolescamenté	rocambolescamente	ocr_confusion	0.0	1	42	0
frutaes	frutales	typo	2.82e-06	1	42	3
españtosa	espantosa	ocr_confusion	2.29e-06	1	42	3
libamicnto	libamiento	ocr_confusion	0.0	1	42	1
satol	sato	typo	9.55e-07	1	42	3
arronjár	arronjar	ocr_confusion	0.0	1	42	0
limitante	limitante	identity	9.12e-07	0	42	2
comenzaba	comenzaba	identity	4.79e-06	0	42	4
aoartonadameñte	acartonadamente	ocr_confusion	0.0	2	42	1
eñfooando	enfocando	ocr_confusion	7.94e-07	2	42	2
engoiar	engolar	ocr_confusion	0.0	1	42	1
cole	cold	typo	1.35e-06	1	42	3
acellerado	acelerado	typo	3.63e-06	1	42	4
cstopa	estopa	ocr_confusion	6.76e-07	1	42	2
cfaval	chaval	historical	5.37e-06	1	42	4
colin	colin	identity	3.47e-06	0	42	4
svntuosidad	suntuosidad	historical	0.0	1	42	0
conformismo	conformismo	identity	8.91e-07	0	42	2
plaço	plazo	historical	7.41e-05	1	42	4
omnipreseñte	omnipresente	ocr_confusion	1.2e-06	1	42	3
hyperdulía	hiperdulía	historical	0.0	1	42	1
corewografías	coreografías	typo	8.32e-07	1	42	2
cále	cale	ocr_confusion	7.59e-07	1	42	2
cervécéra	cervecera	ocr_confusion	7.76e-07	2	42	2
mexicali	mexicali	identity	2.24e-06	0	42	3
foser	foster	typo	3.24e-06	1	42	4
deslecfugar	deslechugar	historical	0.0	1	42	1
aponerr	aponer	typo	0.0	1	42	0
urnte	urente	typo	0.0	1	42	1
extirpaeor	extirpador	typo	0.0	1	42	1
bjsílabo	bisílabo	historical	0.0	1	42	0
baquíá	baquía	ocr_confusion	0.0	1	42	1
enoía	encía	ocr_confusion	0.0	1	42	1
jerfa	jera	typo	0.0	1	42	1
mediánejo	medianejo	ocr_confusion	0.0	1	42	1
sométiendo	sometiendo	ocr_confusion	8.13e-07	1	42	2
ccnt	cent	ocr_confusion	9.77e-07	1	42	3
estornudo	estornudo	identity	5.75e-07	0	42	2
felefónico	telefónico	ocr_confusion	3.98e-06	1	42	4
habiitó	habilitó	typo	9.77e-07	1	42	3
desafferrar	desaferrar	typo	0.0	1	42	2
trano	tranco	typo	0.0	1	42	0
resülto	resulto	ocr_confusion	1.35e-06	1	42	3
beatriz	beatriz	identity	7.24e-06	0	42	4
óliéndoteías	oliéndotelas	ocr_confusion	0.0	2	42	1
miraoblano	mirabolano	typo	0.0	2	42	2
repétición	repetición	ocr_confusion	6.61e-06	1	42	4
conformarsé	conformarse	ocr_confusion	1.66e-06	1	42	3
ilvstran	ilustran	historical	1.55e-06	1	42	3
oblygacionista	obligacionista	historical	0.0	1	42	1
zooffirio	zooftirio	ocr_confusion	0.0	1	42	0
reoental	recental	ocr_confusion	0.0	1	42	0
conntact	contact	typo	1.29e-06	1	42	3
fisoai	fiscal	ocr_confusion	7.24e-05	2	42	4
institucionalizada	institucionalizada	identity	6.31e-07	0	42	2
tarsfondo	trasfondo	typo	3.47e-06	2	42	4
áyermar	ayermar	ocr_confusion	0.0	1	42	0
simpátioo	simpático	ocr_confusion	5.01e-06	1	42	4
implantc	implante	ocr_confusion	1.62e-06	1	42	3
oambiarse	cambiarse	ocr_confusion	2.95e-06	1	42	4
ilbró	libró	typo	1.82e-06	2	42	3
tindcs	findes	ocr_confusion	1.15e-06	2	42	3
tirachinbas	tirachinas	typo	0.0	1	42	1
intreviene	interviene	typo	4.17e-06	2	42	4
escaryficador	escarificador	historical	0.0	1	42	0
conectaas	conectas	typo	9.12e-07	1	42	2
dinmaitero	dinamitero	typo	0.0	2	42	0
aftato	astato	ocr_confusion	0.0	1	42	0
miniño	minino	ocr_confusion	0.0	1	42	1
inclinativ	inclinativo	typo	0.0	1	42	0
laambert	lambert	typo	1.62e-06	1	42	3
excremenfóso	excrementoso	ocr_confusion	0.0	2	42	0
emolíente	emoliente	ocr_confusion	0.0	1	42	0
inexplicablemente	inexplicablemente	identity	6.92e-07	0	42	2
contrábarrera	contrabarrera	ocr_confusion	0.0	1	42	1
grogui	grogui	identity	0.0	0	42	0
cándidó	cándido	ocr_confusion	1.1e-06	1	42	3
insodia	insidia	typo	0.0	1	42	0
sobrésalienles	sobresalientes	ocr_confusion	2.45e-06	2	42	3
tejdia	tejida	typo	5.5e-07	2	42	2
solbres	sobres	typo	3.98e-06	1	42	4
zhora	ahora	typo	0.00112	1	42	4
baltle	battle	ocr_confusion	1.58e-06	1	42	3
fallecimienfos	fallecimientos	ocr_confusion	6.92e-07	1	42	2
iíbaro	jíbaro	historical	0.0	1	42	1
tymonear	timonear	historical	0.0	1	42	2
ajeró	ajero	ocr_confusion	0.0	1	42	0
redoladca	redolada	typo	0.0	1	42	1
calefa	caleta	ocr_confusion	2.69e-06	1	42	3
cnzurronar	enzurronar	ocr_confusion	0.0	1	42	0
componendaa	componenda	typo	0.0	1	42	1
próyeellles	proyectiles	ocr_confusion	2.75e-06	4	42	3
detayando	detallando	historical	8.32e-07	2	42	2
ejordir	exordir	historical	0.0	1	42	1
enmodar	enmondar	typo	0.0	1	42	1
aicaldía	alcaldía	ocr_confusion	1.15e-05	1	42	4
aprobecho	aprovecho	historical	3.47e-06	1	42	4
fatsidiar	fastidiar	typo	9.33e-07	2	42	2
adjúnto	adjunto	ocr_confusion	9.12e-06	1	42	4
lerglversación	tergiversación	ocr_confusion	0.0	2	42	1
caeefa	caceta	ocr_confusion	0.0	2	42	1
sdie	side	typo	4.07e-06	2	42	4
vaciamiento	vaciamiento	identity	6.31e-07	0	42	2
hormado	formado	historical	2.57e-05	1	42	4
acostvmbre	acostumbre	historical	1e-06	1	42	3
milicnnials	millennials	ocr_confusion	9.77e-07	2	42	3
apropiadá	apropiada	ocr_confusion	6.46e-06	1	42	4
gonras	honras	typo	0.0	1	42	1
almanaqúero	almanaquero	ocr_confusion	0.0	1	42	1
lexycalizar	lexicalizar	historical	0.0	1	42	0
caqsará	casará	typo	5.62e-07	1	42	2
aidaq	aida	typo	1.78e-06	1	42	3
suhvencionar	subvencionar	typo	5.62e-07	1	42	2
piliás	pillas	ocr_confusion	1.05e-06	2	42	3
emprendedoraméñte	emprendedoramente	ocr_confusion	0.0	2	42	0
filialméñte	filialmente	ocr_confusion	0.0	2	42	0
iocalizado	localizado	ocr_confusion	5.89e-06	1	42	4
mcaareo	macareo	typo	0.0	2	42	0
genialmente	genialmente	identity	0.0	0	42	1
desadré	desdaré	typo	0.0	2	42	1
titul	titula	typo	3.24e-06	1	42	4
dezdando	desdando	typo	0.0	1	42	1
petúlante	petulante	ocr_confusion	0.0	1	42	1
lulista	lulista	identity	0.0	0	42	1
hillada	hilada	typo	0.0	1	42	1
look	look	identity	7.59e-06	0	42	4
fhanks	thanks	ocr_confusion	1.1e-06	1	42	3
marqvesa	marquesa	historical	2.57e-06	1	42	3
crédilos	créditos	ocr_confusion	2.34e-05	1	42	4
pacifiicador	pacificador	typo	0.0	1	42	1
eseobar	escobar	ocr_confusion	7.59e-06	1	42	4
carpefa	carpeta	ocr_confusion	6.46e-06	1	42	4
deprisá	deprisa	ocr_confusion	2.24e-06	1	42	3
animmado	animado	typo	6.76e-06	1	42	4
çomprarlas	comprarlas	historical	8.51e-07	1	42	2
auces	cauces	typo	1.55e-06	1	42	3
retirc	retire	ocr_confusion	3.72e-06	1	42	4
deshclar	deshelar	ocr_confusion	0.0	1	42	1
suslenfado	sustentado	ocr_confusion	8.71e-07	2	42	2
cimitardra	cimitarra	typo	0.0	1	42	1
byblias	biblias	historical	7.76e-07	1	42	2
leone	leone	identity	6.17e-07	0	42	2
preparátivo	preparativo	ocr_confusion	0.0	1	42	1
lnventos	inventos	ocr_confusion	2.95e-06	1	42	4
hércdar	heredar	ocr_confusion	1.91e-06	2	42	3
prcsiento	presiento	ocr_confusion	1.62e-06	1	42	3
forrae	forraje	typo	8.13e-07	1	42	2
escucharon	escucharon	identity	4.79e-06	0	42	4
foreign	foreign	identity	1.95e-06	0	42	3
historifíeaeión	historificación	ocr_confusion	0.0	3	42	1
dcvovér	devover	ocr_confusion	0.0	2	42	0
nvtricional	nutricional	historical	2.04e-06	1	42	3
juncfácea	juncácea	typo	0.0	1	42	1
scnse	sense	ocr_confusion	1.48e-06	1	42	3
coñsentidor	consentidor	ocr_confusion	0.0	1	42	2
vjanda	vianda	historical	0.0	1	42	0
oenizoso	cenizoso	ocr_confusion	0.0	1	42	0
biltboard	billboard	ocr_confusion	1.62e-06	1	42	3
constrjñir	constriñir	historical	0.0	1	42	1
dámnifieár	damnificar	ocr_confusion	0.0	3	42	2
gayf	gays	ocr_confusion	9.55e-06	1	42	4
cutpes	culpes	ocr_confusion	1.05e-06	1	42	3
estilso	estilos	typo	1.17e-05	2	42	4
cumpljrla	cumplirla	historical	7.24e-07	1	42	2
turkmenisfán	turkmenistán	ocr_confusion	8.91e-07	1	42	2
léónicá	leónica	ocr_confusion	0.0	2	42	1
defengrudar	desengrudar	ocr_confusion	0.0	1	42	0
nsgral	negral	typo	0.0	1	42	1
wprld	world	typo	2.19e-05	1	42	4
dáñdoselos	dándoselos	ocr_confusion	0.0	1	42	0
gratülatorio	gratulatorio	ocr_confusion	0.0	1	42	0
gjmeno	gimeno	historical	7.08e-07	1	42	2
cldos	caldos	typo	6.31e-07	1	42	2
banddas	bandas	typo	2.34e-05	1	42	4
bendecjda	bendecida	historical	1.32e-06	1	42	3
vóladora	voladora	ocr_confusion	1.23e-06	1	42	3
amadoor	amador	typo	2.34e-06	1	42	3
escopétero	escopetero	ocr_confusion	0.0	1	42	1
contractuales	contractuales	identity	1.29e-06	0	42	3
panteíst	panteísta	typo	0.0	1	42	1
güardéría	guardería	ocr_confusion	3.47e-06	2	42	4
enraoimar	enracimar	ocr_confusion	0.0	1	42	0
grupéra	grupera	ocr_confusion	0.0	1	42	1
cresttado	crestado	typo	0.0	1	42	2
posatmeridiano	postmeridiano	typo	0.0	1	42	0
staurados	saturados	typo	8.91e-07	2	42	2
engrudador	engrudador	identity	0.0	0	42	2
fuéramos	fueramos	ocr_confusion	8.71e-07	1	42	2
centavrea	centaurea	historical	0.0	1	42	0
arrastrnte	arrastrante	typo	0.0	1	42	2
perezosámente	perezosamente	ocr_confusion	0.0	1	42	0
vcrbasco	verbasco	ocr_confusion	0.0	1	42	0
acuciaddor	acuciador	typo	0.0	1	42	2
resurgymiento	resurgimiento	historical	1.91e-06	1	42	3
fincopizar	sincopizar	ocr_confusion	0.0	1	42	2
sofdos	sordos	typo	3.55e-06	1	42	4
mémorar	memorar	ocr_confusion	0.0	1	42	0
escribislé	escribiste	ocr_confusion	3.24e-06	2	42	4
dcsdaréis	desdaréis	ocr_confusion	0.0	1	42	0
hourss	hours	typo	1.02e-06	1	42	3
anaglífo	anaglifo	ocr_confusion	0.0	1	42	0
andantesco	andantesco	identity	0.0	0	42	0
bolivisna	boliviana	typo	5.5e-06	1	42	4
ciento	ciento	identity	7.08e-05	0	42	4
eoehinó	cochino	ocr_confusion	1.17e-06	3	42	3
abuleñse	abulense	ocr_confusion	0.0	1	42	0
samotracio	samotracio	identity	0.0	0	42	0
ljquid	liquid	historical	6.31e-07	1	42	2
dulñía	dulía	typo	0.0	1	42	1
tgrocla	trocla	typo	0.0	1	42	0
fcble	feble	ocr_confusion	0.0	1	42	0
smóg	smog	ocr_confusion	6.92e-07	1	42	2
satmuera	salmuera	ocr_confusion	5.5e-07	1	42	2
glorlá	gloria	ocr_confusion	3.31e-05	2	42	4
maqullcro	maquilero	ocr_confusion	0.0	2	42	1
auteñticidad	autenticidad	ocr_confusion	4.68e-06	1	42	4
oosmología	cosmología	ocr_confusion	0.0	1	42	1
reulilizaeión	reutilización	ocr_confusion	1.32e-06	2	42	3
unlda	unida	ocr_confusion	1.38e-05	1	42	4
léan	lean	ocr_confusion	8.51e-06	1	42	4
cadetee	cadete	typo	2.75e-06	1	42	3
tfank	thank	historical	1.23e-06	1	42	3
saqueo	saqueo	identity	5.89e-06	0	42	4
hartar	hartar	identity	0.0	0	42	0
engórdadero	engordadero	ocr_confusion	0.0	1	42	0
dramatizaf	dramatizar	typo	0.0	1	42	1
eporino	leporino	typo	0.0	1	42	1
eflvente	efluente	historical	0.0	1	42	0
forámen	foramen	ocr_confusion	0.0	1	42	0
molesyamente	molestamente	typo	0.0	1	42	0
interinaménte	interinamente	ocr_confusion	0.0	1	42	0
aegstado	agestado	typo	0.0	2	42	0
esbroncc	esbronce	ocr_confusion	0.0	1	42	0
rcivindicán	reivindican	ocr_confusion	6.61e-07	2	42	2
movimienhto	movimiento	typo	0.000145	1	42	4
zeiza	ezeiza	typo	1.74e-06	1	42	3
ritüalisfá	ritualista	ocr_confusion	0.0	3	42	0
peripcciáf	peripecias	ocr_confusion	8.51e-07	3	42	2
letnos	lentos	typo	3.72e-06	2	42	4
prgeuntarme	preguntarme	typo	3.89e-06	2	42	4
sustituirlo	sustituirlo	identity	6.92e-07	0	42	2
préstamoo	préstamo	typo	1.58e-05	1	42	4
enervantemdnte	enervantemente	typo	0.0	1	42	1
jerionzar	jerigonzar	typo	0.0	1	42	0
ñetalismo	petalismo	typo	0.0	1	42	0
oieaginoso	oleaginoso	ocr_confusion	0.0	1	42	0
exptosiones	explosiones	ocr_confusion	4.07e-06	1	42	4
sonambulismo	sonambulismo	identity	0.0	0	42	1
tommadero	tomadero	typo	0.0	1	42	0
comeñtario	comentario	ocr_confusion	6.03e-05	1	42	4
profíeíenfe	proficiente	ocr_confusion	0.0	4	42	2
rfeorzador	reforzador	typo	0.0	2	42	1
refíejó	reflejó	ocr_confusion	1.38e-06	1	42	3
numismáitca	numismática	typo	0.0	2	42	0
desnvdarse	desnudarse	historical	7.59e-07	1	42	2
oímedo	olmedo	ocr_confusion	2.63e-06	1	42	3
aacusar	acusar	typo	6.17e-06	1	42	4
renaled	renales	typo	1.12e-06	1	42	3
trágavino	tragavino	ocr_confusion	0.0	1	42	1
atorarr	atorar	typo	0.0	1	42	2
currul	curul	typo	6.31e-07	1	42	2
kurf	kurt	typo	4.9e-06	1	42	4
desabrimoos	desabrimos	typo	0.0	1	42	1
cruzár	cruzar	ocr_confusion	1.86e-05	1	42	4
lexiñgton	lexington	ocr_confusion	6.17e-07	1	42	2
mejorén	mejoren	ocr_confusion	2.45e-06	1	42	3
vinoso	vinoso	identity	0.0	0	42	0
sonríc	sonríe	ocr_confusion	6.31e-06	1	42	4
galane	galante	typo	7.41e-07	1	42	2
lcjer	tejer	ocr_confusion	1.74e-06	2	42	3
émpaslar	empastar	ocr_confusion	0.0	2	42	0
ynvestido	investido	historical	1.2e-06	1	42	3
caricaturesco	caricaturesco	identity	0.0	0	42	2
dacfiloscopiá	dactiloscopia	ocr_confusion	0.0	2	42	0
fáuno	fauno	ocr_confusion	0.0	1	42	0
partieular	particular	ocr_confusion	8.51e-05	1	42	4
mismidad	mismidad	identity	0.0	0	42	0
fleuxoso	flexuoso	typo	0.0	2	42	0
nafalla	anafalla	typo	0.0	1	42	0
abryrlo	abrirlo	historical	1.58e-06	1	42	3
proteccyonismo	proteccionismo	historical	1.41e-06	1	42	3
fóllador	follador	ocr_confusion	0.0	1	42	0
corónariá	coronaria	ocr_confusion	8.32e-07	2	42	2
agrulados	agrupados	typo	2e-06	1	42	3
pideñ	piden	ocr_confusion	3.24e-05	1	42	4
exceptuandó	exceptuando	ocr_confusion	2.82e-06	1	42	3
éxteriores	exteriores	ocr_confusion	3.02e-05	1	42	4
oholula	cholula	ocr_confusion	1.12e-06	1	42	3
cazsdero	cazadero	typo	0.0	1	42	0
hematocrjto	hematocrito	historical	0.0	1	42	2
palatlnado	palatinado	ocr_confusion	0.0	1	42	1
mutaoión	mutación	ocr_confusion	2.51e-06	1	42	3
cacahuetes	cacahuetes	identity	5.75e-07	0	42	2
enumgrecer	enmugrecer	typo	0.0	2	42	0
carretób	carretón	typo	0.0	1	42	1
exptícado	explicado	ocr_confusion	9.33e-06	2	42	4
fakc	sake	ocr_confusion	1.15e-06	2	42	3
pellgrosa	peligrosa	ocr_confusion	1.32e-05	1	42	4
ddañan	dañan	typo	1.82e-06	1	42	3
fifcaleár	fiscalear	ocr_confusion	0.0	2	42	0
prevaricar	prevaricar	identity	0.0	0	42	0
gvinda	guinda	historical	7.59e-07	1	42	2
lulá	lula	ocr_confusion	5.25e-06	1	42	4
auitaminosis	avitaminosis	historical	0.0	1	42	2
alojamiéntof	alojamientos	ocr_confusion	1.58e-06	2	42	3
bla	bola	typo	2.69e-05	1	42	4
farmbueso	frambueso	typo	0.0	2	42	0
échenmse	échense	typo	0.0	1	42	1
próeesádores	procesadores	ocr_confusion	2.14e-06	3	42	3
gangreñoso	gangrenoso	ocr_confusion	0.0	1	42	0
álice	alice	ocr_confusion	6.92e-06	1	42	4
regia	regida	typo	7.41e-07	1	42	2
çaminen	caminen	historical	5.75e-07	1	42	2
prcnsil	prensil	ocr_confusion	0.0	1	42	1
combjnarse	combinarse	historical	6.31e-07	1	42	2
gospei	gospel	ocr_confusion	8.51e-07	1	42	2
oorpiño	corpiño	ocr_confusion	9.55e-07	1	42	3
tijjeras	tijeras	typo	2.57e-06	1	42	3
agencviar	agenciar	typo	0.0	1	42	0
triguenio	trigueño	historical	0.0	2	42	0
parrilñada	parrillada	typo	6.46e-07	1	42	2
reanimaeión	reanimación	ocr_confusion	7.41e-07	1	42	2
matalobof	matalobos	ocr_confusion	0.0	1	42	0
sylba	silba	historical	0.0	1	42	0
empedrado	empedrado	identity	8.13e-07	0	42	2
rosztir	rostir	typo	0.0	1	42	1
tojas	tomas	typo	1.95e-05	1	42	4
estache	estache	identity	0.0	0	42	0
gobernaoiones	gobernaciones	ocr_confusion	1.51e-06	1	42	3
comentando	comentando	identity	5.75e-06	0	42	4
toostadora	tostadora	typo	7.41e-07	1	42	2
çoncretar	concretar	historical	3.55e-06	1	42	4
vcinfe	veinte	ocr_confusion	2.95e-05	2	42	4
estaret	estarte	typo	0.0	2	42	0
deseadr	deseador	typo	0.0	1	42	1
braqga	braga	typo	1.66e-06	1	42	3
prestará	prestará	identity	8.13e-07	0	42	2
nqíuel	níquel	typo	1.62e-06	2	42	3
idéólogó	ideólogo	ocr_confusion	8.13e-07	2	42	2
admínistrafivamente	administrativamente	ocr_confusion	7.59e-07	2	42	2
déjenmé	déjenme	ocr_confusion	2.69e-06	1	42	3
tatinoamérica	latinoamérica	ocr_confusion	2.14e-05	1	42	4
trajelad	trajelar	typo	0.0	1	42	1
óigánlo	óiganlo	ocr_confusion	0.0	1	42	1
astraeán	astracán	ocr_confusion	0.0	1	42	0
desperfarte	despertarte	ocr_confusion	1.32e-06	1	42	3
pisáf	pisas	ocr_confusion	7.41e-07	2	42	2
sorito	zorito	historical	0.0	1	42	0
ajke	jake	typo	3.63e-06	2	42	4
cigoña	cigoñal	typo	0.0	1	42	1
pieçe	piece	historical	1.45e-06	1	42	3
intríga	intriga	ocr_confusion	4.68e-06	1	42	4
btake	blake	ocr_confusion	4.37e-06	1	42	4
uirago	virago	historical	0.0	1	42	0
almacigár	almacigar	ocr_confusion	0.0	1	42	1
vredas	veredas	typo	2.82e-06	1	42	3
réspetáron	respetaron	ocr_confusion	5.89e-07	2	42	2
sujeción	sujeción	identity	2.19e-06	0	42	3
roñdá	ronda	ocr_confusion	2.57e-05	2	42	4
goletas	goleta	typo	1.1e-06	1	42	3
septéto	septeto	ocr_confusion	0.0	1	42	0
dernandes	fernandes	typo	7.76e-07	1	42	2
imaginaf	imaginas	ocr_confusion	7.08e-06	1	42	4
resden	dresden	typo	6.03e-07	1	42	2
eñhumedecer	enhumedecer	ocr_confusion	0.0	1	42	1
plugin	plugin	identity	5.75e-07	0	42	2
indoçhina	indochina	historical	7.76e-07	1	42	2
ongitud	longitud	typo	1.91e-05	1	42	4
émplatado	emplatado	ocr_confusion	0.0	1	42	0
vífar	vícar	typo	0.0	1	42	0
contrabajista	contrabajista	identity	0.0	0	42	0
rankjngs	rankings	historical	1.15e-06	1	42	3
especkas	especias	typo	3.63e-06	1	42	4
civilizado	civilizado	identity	3.24e-06	0	42	4
polígrazfo	polígrafo	typo	6.03e-07	1	42	2
asparear	aparear	typo	0.0	1	42	0
dlóope	dólope	typo	0.0	2	42	2
maidaana	maidana	typo	6.61e-07	1	42	2
logopedi	logopedia	typo	0.0	1	42	1
abvrridor	aburridor	historical	0.0	1	42	1
cómerla	comerla	ocr_confusion	7.24e-07	1	42	2
fcigure	figure	typo	1.26e-06	1	42	3
reiteraz	reitera	typo	2e-06	1	42	3
cafedrales	catedrales	ocr_confusion	1.55e-06	1	42	3
despechar	despechar	identity	0.0	0	42	1
hagas	hagas	identity	4.07e-05	0	42	4
presentarle	presentarte	ocr_confusion	1.55e-06	1	42	3
oponía	oponía	identity	1.62e-06	0	42	3
mercero	mercero	identity	0.0	0	42	0
robar	robar	identity	2.69e-05	0	42	4
inreresado	interesado	typo	2.4e-05	1	42	4
tartamúdez	tartamudez	ocr_confusion	0.0	1	42	1
lavoteard	lavotear	typo	0.0	1	42	2
enhastillaar	enhastillar	typo	0.0	1	42	1
arrepystar	arrepistar	historical	0.0	1	42	2
artifieiero	artificiero	ocr_confusion	0.0	1	42	0
publieitar	publicitar	ocr_confusion	1.02e-06	1	42	3
pidamos	pidamos	identity	1.12e-06	0	42	3
dercohas	derechas	ocr_confusion	4.47e-06	2	42	4
apñolo	apolo	typo	3.98e-06	1	42	4
reqviere	requiere	historical	4.27e-05	1	42	4
pidrdo	pierdo	typo	7.59e-06	1	42	4
büstamañte	bustamante	ocr_confusion	3.47e-06	2	42	4
mosquerucla	mosqueruela	ocr_confusion	0.0	1	42	2
mjcronesia	micronesia	historical	0.0	1	42	1
müsfela	mustela	ocr_confusion	0.0	2	42	2
odair	odiar	typo	5.75e-06	2	42	4
olérmnelas	olérmelas	typo	0.0	1	42	0
júgárá	jugará	ocr_confusion	3.55e-06	2	42	4
ubiones	uniones	typo	3.98e-06	1	42	4
pelagato	pelagatos	typo	0.0	1	42	2
éstopor	estopor	ocr_confusion	0.0	1	42	2
nini	nini	identity	7.76e-07	0	42	2
encantada	encantada	identity	4.27e-06	0	42	4
aurgifano	aurgitano	ocr_confusion	0.0	1	42	2
ermontado	remontado	typo	0.0	2	42	0
crecer	crecer	identity	3.02e-05	0	42	4
ninivifa	ninivita	ocr_confusion	0.0	1	42	1
fnudando	fundando	typo	7.59e-07	2	42	2
acábamiento	acabamiento	ocr_confusion	0.0	1	42	1
convoicada	convocada	typo	3.89e-06	1	42	4
anóniga	canóniga	typo	0.0	1	42	2
frlais	friais	ocr_confusion	0.0	1	42	2
gabietes	gabinetes	typo	1.38e-06	1	42	3
sobrealaar	sobrealzar	typo	0.0	1	42	1
multinácionales	multinacionales	ocr_confusion	5.01e-06	1	42	4
debido	debido	identity	0.000174	0	42	4
ejcitar	excitar	historical	0.0	1	42	1
desspampanadura	despampanadura	typo	0.0	1	42	2
abetuña	abetuna	ocr_confusion	0.0	1	42	0
ssobajadura	sobajadura	typo	0.0	1	42	2
rostv	rostov	typo	6.46e-07	1	42	2
