input	target	source_rule	freq	edit_count	seed
ánatomizár	anatomizar	ocr_confusion	0.0	2	42
adryano	adriano	historical	1.82e-06	1	42
aícaoel	alcacel	ocr_confusion	0.0	2	42
pávesa	pavesa	ocr_confusion	0.0	1	42
codyficar	codificar	historical	1e-06	1	42
llorosamenfc	llorosamente	ocr_confusion	0.0	2	42
políglola	políglota	ocr_confusion	0.0	1	42
imperativo	imperativo	identity	3.16e-06	0	42
ymporto	importo	historical	1.62e-06	1	42
liñguá	lingua	ocr_confusion	9.33e-07	2	42
bureaú	bureau	ocr_confusion	1.62e-06	1	42
descuydados	descuidados	historical	7.76e-07	1	42
costrlngir	costringir	ocr_confusion	0.0	1	42
ritvales	rituales	historical	6.76e-06	1	42
tuste	tueste	typo	0.0	1	42
respondiste	respondiste	identity	1.1e-06	0	42
jedrano	medrano	typo	1.58e-06	1	42
bocafijera	bocatijera	ocr_confusion	0.0	1	42
açcidentado	accidentado	historical	1.35e-06	1	42
menfura	mensura	ocr_confusion	0.0	1	42
paéz	paez	ocr_confusion	6.17e-07	1	42
regaidzo	regadizo	typo	0.0	2	42
denlaf	denlas	ocr_confusion	0.0	1	42
luminiseencia	luminiscencia	ocr_confusion	0.0	1	42
tuñdra	tundra	ocr_confusion	0.0	1	42
düla	dula	ocr_confusion	0.0	1	42
deçantar	decantar	historical	0.0	1	42
traduetor	traductor	ocr_confusion	8.91e-06	1	42
áycr	ayer	ocr_confusion	0.000123	2	42
entrejuntarr	entrejuntar	typo	0.0	1	42
enetdo	eneldo	ocr_confusion	0.0	1	42
raeiónalizar	racionalizar	ocr_confusion	9.55e-07	2	42
sosar	sosar	identity	0.0	0	42
danublo	danubio	ocr_confusion	1.66e-06	1	42
consültado	consultado	ocr_confusion	7.24e-06	1	42
pianeadá	planeada	ocr_confusion	2.04e-06	2	42
hremafrodita	hermafrodita	typo	0.0	2	42
slex	flex	ocr_confusion	7.76e-07	1	42
besúqüear	besuquear	ocr_confusion	0.0	2	42
coteóptero	coleóptero	ocr_confusion	0.0	1	42
tenikda	tenida	typo	6.17e-07	1	42
infalador	inhalador	historical	0.0	1	42
rlator	relator	typo	2.45e-06	1	42
cañonero	cañonero	identity	0.0	0	42
purpurjno	purpurino	historical	0.0	1	42
investigativco	investigativo	typo	5.75e-07	1	42
báqüía	baquía	ocr_confusion	0.0	2	42
jimlaestre	jilmaestre	typo	0.0	2	42
çostos	costos	historical	2.69e-05	1	42
vict	viet	ocr_confusion	8.32e-07	1	42
ácorüllár	acorullar	ocr_confusion	0.0	3	42
scrbios	serbios	ocr_confusion	2.51e-06	1	42
secfulares	seculares	typo	1.86e-06	1	42
barrigüera	barriguera	ocr_confusion	0.0	1	42
rcsponsivo	responsivo	ocr_confusion	0.0	1	42
eortisqueár	cortisquear	ocr_confusion	0.0	2	42
ámennos	ámennos	identity	0.0	0	42
bravúconada	bravuconada	ocr_confusion	0.0	1	42
cabriol	cabrio	typo	0.0	1	42
hormalizado	formalizado	historical	7.24e-07	1	42
eneordadura	encordadura	ocr_confusion	0.0	1	42
syng	sing	historical	1.62e-06	1	42
maçhos	machos	historical	6.76e-06	1	42
cesa	cesa	identity	1.51e-06	0	42
proolamado	proclamado	ocr_confusion	2.51e-06	1	42
arregladó	arreglado	ocr_confusion	5.13e-06	1	42
laringoscopoio	laringoscopio	typo	0.0	1	42
dyspare	dispare	historical	9.12e-07	1	42
empuñadura	empuñadura	identity	8.32e-07	0	42
traflúmbrar	traslumbrar	ocr_confusion	0.0	2	42
pjrámide	pirámide	historical	5.75e-06	1	42
únales	únales	identity	0.0	0	42
ilumiñc	ilumine	ocr_confusion	9.77e-07	2	42
arrepentjr	arrepentir	historical	2.57e-06	1	42
fruncimiento	fruncimiento	identity	0.0	0	42
escueharme	escucharme	ocr_confusion	1.32e-06	1	42
umirnos	unirnos	typo	2.69e-06	1	42
neptunó	neptuno	ocr_confusion	1.74e-06	1	42
laríñgeo	laríngeo	ocr_confusion	0.0	1	42
püñtal	puntal	ocr_confusion	5.89e-07	2	42
pédrusco	pedrusco	ocr_confusion	0.0	1	42
wattf	watts	ocr_confusion	1.78e-06	1	42
estaríamso	estaríamos	typo	6.92e-06	2	42
marx	marx	identity	9.33e-06	0	42
afecfe	afecte	ocr_confusion	4.27e-06	1	42
ojialcgre	ojialegre	ocr_confusion	0.0	1	42
easoñeñsc	easonense	ocr_confusion	0.0	3	42
leafrales	teatrales	ocr_confusion	2.75e-06	2	42
liçenciar	licenciar	historical	0.0	1	42
contraprestacjón	contraprestación	historical	6.46e-07	1	42
mancjada	manejada	ocr_confusion	1.35e-06	1	42
arrechuchár	arrechuchar	ocr_confusion	0.0	1	42
virote	virote	identity	0.0	0	42
balagvero	balaguero	historical	0.0	1	42
masá	masa	ocr_confusion	4.27e-05	1	42
intrensos	intensos	typo	3.98e-06	1	42
gratil	gratil	identity	0.0	0	42
griltete	grillete	ocr_confusion	0.0	1	42
nltarial	notarial	typo	1.1e-06	1	42
ceeeza	cereza	typo	1.55e-06	1	42
ynteresaron	interesaron	historical	7.08e-07	1	42
provocando	provocando	identity	8.51e-06	0	42
lebroñ	lebron	ocr_confusion	8.51e-07	1	42
amcno	ameno	ocr_confusion	1.41e-06	1	42
rooba	roba	typo	9.33e-06	1	42
habanó	habano	ocr_confusion	0.0	1	42
dedican	dedican	identity	9.77e-06	0	42
albaíaero	albalaero	ocr_confusion	0.0	1	42
orobias	orobias	identity	0.0	0	42
ahogada	ahogada	identity	1.02e-06	0	42
çabronada	cabronada	historical	0.0	1	42
arcyllas	arcillas	historical	6.46e-07	1	42
esbroncc	esbronce	ocr_confusion	0.0	1	42
replicador	replicador	identity	0.0	0	42
experimengé	experimenté	typo	5.75e-07	1	42
toturado	torturado	typo	2.45e-06	1	42
criticabán	criticaban	ocr_confusion	1.12e-06	1	42
miñütes	minutes	ocr_confusion	7.76e-07	2	42
cxplotado	explotado	ocr_confusion	2.69e-06	1	42
marriposas	mariposas	typo	4.37e-06	1	42
caréceñ	carecen	ocr_confusion	7.24e-06	2	42
medieá	medica	ocr_confusion	1.78e-06	2	42
diviértcte	diviértete	ocr_confusion	1.29e-06	1	42
aseçhar	asechar	historical	0.0	1	42
monocromático	monocromático	identity	0.0	0	42
moderadamente	moderadamente	identity	1.45e-06	0	42
díadá	diada	ocr_confusion	5.62e-07	2	42
sandwicfes	sandwiches	historical	8.91e-07	1	42
morabetinol	morabetino	typo	0.0	1	42
acértar	acertar	ocr_confusion	1.7e-06	1	42
lanchzr	lanchar	typo	0.0	1	42
numreal	numeral	typo	1.78e-06	2	42
azogucro	azoguero	ocr_confusion	0.0	1	42
contrarreloj	contrarreloj	identity	7.59e-07	0	42
monysmo	monismo	historical	0.0	1	42
craatera	cratera	typo	0.0	1	42
generales	generales	identity	6.31e-05	0	42
obtuvcimos	obtuvimos	typo	1e-06	1	42
hojaldrita	hojaldrista	typo	0.0	1	42
meñegilda	menegilda	ocr_confusion	0.0	1	42
rendimiénto	rendimiento	ocr_confusion	2.29e-05	1	42
alféizra	alféizar	typo	0.0	2	42
quebrqda	quebrada	typo	5.01e-06	1	42
demolér	demoler	ocr_confusion	1.35e-06	1	42
ostyas	ostias	historical	6.17e-07	1	42
sagaz	sagaz	identity	0.0	0	42
moçoso	mocoso	historical	5.62e-07	1	42
adelataron	adelantaron	typo	9.12e-07	1	42
extraterresters	extraterrestres	typo	3.47e-06	2	42
altagraeia	altagracia	ocr_confusion	8.32e-07	1	42
guadamceí	guadamecí	typo	0.0	2	42
repasfar	repastar	ocr_confusion	0.0	1	42
alaminasgo	alaminazgo	historical	0.0	1	42
sobrebivencia	sobrevivencia	historical	1.41e-06	1	42
borker	broker	typo	1.17e-06	2	42
engaatillar	engatillar	typo	0.0	1	42
esçaldar	escaldar	historical	0.0	1	42
consignadot	consignador	typo	0.0	1	42
exlraotiva	extractiva	ocr_confusion	6.61e-07	2	42
yóqueey	yóquey	typo	0.0	1	42
fiamre	fiambre	typo	7.59e-07	1	42
leñoso	leñoso	identity	0.0	0	42
afluéncia	afluencia	ocr_confusion	3.31e-06	1	42
laializar	labializar	typo	0.0	1	42
cstuvieses	estuvieses	ocr_confusion	6.31e-07	1	42
hormó	formó	historical	1.07e-05	1	42
ofendio	ofendido	typo	5.25e-06	1	42
pairr	parir	typo	1.86e-06	2	42
inadiendo	invadiendo	typo	1.45e-06	1	42
alfaqueqüe	alfaqueque	ocr_confusion	0.0	1	42
seléccionando	seleccionando	ocr_confusion	8.13e-07	1	42
vijdeojuego	videojuego	typo	5.75e-06	1	42
lcgitima	legitima	ocr_confusion	1.7e-06	1	42
redoñdas	redondas	ocr_confusion	1.95e-06	1	42
sieria	siberia	typo	3.24e-06	1	42
garbato	garabato	typo	0.0	1	42
fondarras	hondarras	historical	0.0	1	42
aütoengaño	autoengaño	ocr_confusion	0.0	1	42
relacjonó	relacionó	historical	7.59e-07	1	42
demnde	demande	typo	8.51e-07	1	42
bastiitano	bastitano	typo	0.0	1	42
perse	peres	typo	6.76e-07	2	42
mondoñgo	mondongo	ocr_confusion	0.0	1	42
pedáiear	pedalear	ocr_confusion	7.41e-07	2	42
solicitadaf	solicitadas	ocr_confusion	1.02e-06	1	42
destileríía	destilería	typo	0.0	1	42
oponentes	oponentes	identity	3.02e-06	0	42
prjscilianista	priscilianista	historical	0.0	1	42
ocañas	ocaña	typo	1.74e-06	1	42
desroftrar	desrostrar	ocr_confusion	0.0	1	42
bonánciblé	bonancible	ocr_confusion	0.0	2	42
ajobjlla	ajobilla	historical	0.0	1	42
stickér	sticker	ocr_confusion	6.46e-07	1	42
catáloga	cataloga	ocr_confusion	6.17e-07	1	42
escala	escalla	typo	0.0	1	42
forçó	forzó	historical	2.4e-06	1	42
asesynar	asesinar	historical	7.76e-06	1	42
pasionerra	pasionera	typo	0.0	1	42
remilió	remitió	ocr_confusion	1.02e-06	1	42
erubeseentc	erubescente	ocr_confusion	0.0	2	42
andase	andase	identity	0.0	0	42
retroñar	retronar	ocr_confusion	0.0	1	42
grtifos	grifos	typo	8.51e-07	1	42
wellles	welles	typo	8.13e-07	1	42
esquimazl	esquimal	typo	0.0	1	42
encambrarr	encambrar	typo	0.0	1	42
eñgargoiar	engargolar	ocr_confusion	0.0	2	42
cocodrilo	cocodrilo	identity	2.88e-06	0	42
carcaiadas	carcajadas	historical	2.57e-06	1	42
dehensores	defensores	historical	1.38e-05	1	42
íijadura	lijadura	ocr_confusion	0.0	1	42
malasangree	malasangre	typo	0.0	1	42
huiachache	huachache	typo	0.0	1	42
dilecto	dilecto	identity	0.0	0	42
pedunculado	pedunculado	identity	0.0	0	42
garrapatoo	garrapato	typo	0.0	1	42
encubar	encubar	identity	0.0	0	42
suspéndió	suspendió	ocr_confusion	3.8e-06	1	42
cretno	cretino	typo	6.46e-07	1	42
préveñción	prevención	ocr_confusion	1.95e-05	2	42
deseablc	deseable	ocr_confusion	3.72e-06	1	42
afortuñadaf	afortunadas	ocr_confusion	8.91e-07	2	42
bbiológico	biológico	typo	5.62e-06	1	42
avergonzant	avergonzante	typo	0.0	1	42
ácantonamiento	acantonamiento	ocr_confusion	0.0	1	42
llovizarían	lloviznarían	typo	0.0	1	42
earraseal	carrascal	ocr_confusion	0.0	2	42
alejaron	alejaron	identity	7.24e-07	0	42
valoramos	valoramos	identity	1.32e-06	0	42
aceptarán	aceptarán	identity	1.32e-06	0	42
apabullaqntemente	apabullantemente	typo	0.0	1	42
prrohibiendo	prohibiendo	typo	1.62e-06	1	42
predominio	predominio	identity	2.4e-06	0	42
fuenral	funeral	typo	1.12e-05	2	42
ámechar	amechar	ocr_confusion	0.0	1	42
acordadó	acordado	ocr_confusion	7.76e-06	1	42
zapotee	zapote	typo	0.0	1	42
explijcarlo	explicarlo	typo	3.98e-06	1	42
nieho	nicho	ocr_confusion	2.95e-06	1	42
termiñas	terminas	ocr_confusion	5.75e-06	1	42
taebrnas	tabernas	typo	8.13e-07	2	42
visibilizar	visibilizar	identity	1.32e-06	0	42
alengguar	alenguar	typo	0.0	1	42
pañco	panico	historical	7.59e-07	2	42
petroleos	petroleros	typo	3.63e-06	1	42
resatregar	restregar	typo	0.0	1	42
bidlrcccional	bidireccional	ocr_confusion	0.0	2	42
estay	estay	identity	0.0	0	42
telémefro	telémetro	ocr_confusion	0.0	1	42
liguiya	liguilla	historical	1.82e-06	2	42
termjne	termine	historical	2.69e-05	1	42
reljgion	religion	historical	4.68e-06	1	42
téoríaf	teorías	ocr_confusion	1.74e-05	2	42
ricardoo	ricardo	typo	3.02e-05	1	42
vacillar	vacilar	typo	8.71e-07	1	42
bgale	bale	typo	1.51e-06	1	42
hiañte	hiante	ocr_confusion	0.0	1	42
ádormitar	adormitar	ocr_confusion	0.0	1	42
pibifo	pibito	ocr_confusion	7.24e-07	1	42
pelooponeso	peloponeso	typo	0.0	1	42
cabillo	cabillo	identity	0.0	0	42
múscvlo	músculo	historical	6.46e-06	1	42
amereendearse	amercendearse	ocr_confusion	0.0	1	42
doncél	doncel	ocr_confusion	0.0	1	42
fáñtísimo	tantísimo	ocr_confusion	0.0	3	42
psiqüiafras	psiquiatras	ocr_confusion	1.38e-06	2	42
receptór	receptor	ocr_confusion	6.92e-06	1	42
volcáánico	volcánico	typo	9.55e-07	1	42
babliar	babilar	ocr_confusion	0.0	2	42
évasor	evasor	ocr_confusion	0.0	1	42
desmdmbramiento	desmembramiento	typo	0.0	1	42
apuñaladso	apuñalado	typo	1.26e-06	1	42
çastóreo	castóreo	historical	0.0	1	42
atidona	alidona	ocr_confusion	0.0	1	42
gislea	gisela	typo	1.35e-06	2	42
equivocado	equivocados	typo	5.13e-06	1	42
rüpestré	rupestre	ocr_confusion	6.61e-07	2	42
éxpíicoteár	explicotear	ocr_confusion	0.0	3	42
comentó	comentó	identity	1.74e-05	0	42
lifis	litis	ocr_confusion	0.0	1	42
aguél	aquél	historical	5.25e-06	1	42
edúcir	educir	ocr_confusion	0.0	1	42
sometidsa	sometidas	typo	2.45e-06	2	42
marrbete	marbete	typo	0.0	1	42
vinosidad	vinosidad	identity	0.0	0	42
matrjmoniar	matrimoniar	historical	0.0	1	42
malignamente	malignamente	identity	0.0	0	42
petro	petrov	typo	5.89e-07	1	42
edifada	editada	typo	4.27e-06	1	42
ciwuiricata	ciquiricata	typo	0.0	1	42
frjo	frio	historical	9.77e-06	1	42
áscendldo	ascendido	ocr_confusion	2.45e-06	2	42
derramado	derramado	identity	1.26e-06	0	42
léonora	leonora	ocr_confusion	5.75e-07	1	42
bóone	boone	ocr_confusion	8.71e-07	1	42
juárez	juarez	ocr_confusion	1.66e-06	1	42
compaeto	compacto	ocr_confusion	2.75e-06	1	42
liplisonante	tiplisonante	ocr_confusion	0.0	1	42
escavanr	escavanar	typo	0.0	1	42
hammpton	hampton	typo	6.92e-07	1	42
ínvertido	invertido	ocr_confusion	7.41e-06	1	42
catolycidad	catolicidad	historical	0.0	1	42
blandyr	blandir	historical	0.0	1	42
mercadollbre	mercadolibre	ocr_confusion	6.17e-07	1	42
kibuttz	kibutz	typo	0.0	1	42
cñdocarpio	endocarpio	ocr_confusion	0.0	2	42
térrapién	terraplén	ocr_confusion	0.0	2	42
tan	tian	typo	8.91e-07	1	42
leoñid	leonid	ocr_confusion	8.13e-07	1	42
gauchos	gauchos	identity	1.1e-06	0	42
mouete	moquete	typo	0.0	1	42
aaladro	aladro	typo	0.0	1	42
aplegad	aplegar	typo	0.0	1	42
tempestiva	tempestiva	identity	0.0	0	42
efectivas	efectivas	identity	5.01e-06	0	42
cápcllán	capellán	ocr_confusion	1.86e-06	2	42
eehadles	echadles	ocr_confusion	0.0	1	42
abaracn	abarcan	typo	2.75e-06	2	42
sclecciona	selecciona	ocr_confusion	2.34e-06	1	42
eextendiendo	extendiendo	typo	2.75e-06	1	42
conmensuartivo	conmensurativo	typo	0.0	2	42
magvire	maguire	historical	6.17e-07	1	42
eenteno	centeno	ocr_confusion	2.19e-06	1	42
comvna	comuna	historical	8.51e-06	1	42
hérpcs	herpes	ocr_confusion	1.58e-06	2	42
apareeérá	aparecerá	ocr_confusion	3.8e-06	2	42
ençubiertamente	encubiertamente	historical	0.0	1	42
extraordinario	extraordinario	identity	1.38e-05	0	42
lomicnhíesto	lomienhiesto	ocr_confusion	0.0	2	42
dicient	diciente	typo	0.0	1	42
enfámblado	ensamblado	ocr_confusion	5.89e-07	2	42
ayunar	ayunar	identity	6.76e-07	0	42
deoidnof	decidnos	ocr_confusion	0.0	2	42
snálisis	análisis	typo	9.33e-05	1	42
copmran	compran	typo	6.92e-06	2	42
robetro	roberto	typo	2.45e-05	2	42
malpigiácea	malpigiácea	identity	0.0	0	42
arçipreste	arcipreste	historical	0.0	1	42
nvtricional	nutricional	historical	2.04e-06	1	42
proscrjto	proscrito	historical	0.0	1	42
ingenera	ingeniera	typo	1.51e-06	1	42
ssolicitante	solicitante	typo	2.63e-06	1	42
surgydero	surgidero	historical	0.0	1	42
cfontrapunto	contrapunto	typo	1.55e-06	1	42
cicdrone	cicerone	typo	0.0	1	42
divierfén	divierten	ocr_confusion	1.55e-06	2	42
xarrita	jarrita	historical	0.0	1	42
pituhos	pitufos	historical	9.77e-07	1	42
emkpachoso	empachoso	typo	0.0	1	42
açantonar	acantonar	historical	0.0	1	42
sofíslica	sofística	ocr_confusion	0.0	1	42
ohamarra	chamarra	ocr_confusion	6.17e-07	1	42
aiomar	alomar	ocr_confusion	0.0	1	42
ferbato	herbato	historical	0.0	1	42
gurupa	gurupa	identity	0.0	0	42
tratabañ	trataban	ocr_confusion	4.37e-06	1	42
hérc	here	ocr_confusion	6.92e-06	2	42
updale	update	ocr_confusion	1.66e-06	1	42
hueoss	huesos	typo	1.7e-05	2	42
chañza	chanza	ocr_confusion	0.0	1	42
pulguera	pulguera	identity	0.0	0	42
sátirión	satirión	ocr_confusion	0.0	1	42
elevadoss	elevados	typo	5.62e-06	1	42
impermkeable	impermeable	typo	1.45e-06	1	42
ánaliza	analiza	ocr_confusion	1.07e-05	1	42
modelizacióñ	modelización	ocr_confusion	0.0	1	42
prodúoirse	producirse	ocr_confusion	4.57e-06	2	42
promvlgó	promulgó	historical	1.78e-06	1	42
filofofalmeñte	filosofalmente	ocr_confusion	0.0	2	42
ydra	yedra	typo	0.0	1	42
amenazadolramente	amenazadoramente	typo	0.0	1	42
leniitivo	lenitivo	typo	0.0	1	42
queebrar	quebrar	typo	2.75e-06	1	42
dexarle	dejarle	historical	3.72e-06	1	42
televidente	televidente	identity	0.0	0	42
ádral	adral	ocr_confusion	0.0	1	42
añertan	alertan	typo	6.31e-07	1	42
trasnocfador	trasnochador	historical	0.0	1	42
coñcentró	concentró	ocr_confusion	1.41e-06	1	42
ives	lives	typo	1.05e-06	1	42
váianse	váyanse	historical	2e-06	1	42
sigila	sigilar	typo	0.0	1	42
pernaa	pernada	typo	0.0	1	42
trascendebte	trascendente	typo	1.45e-06	1	42
senialo	señalo	historical	1.29e-06	2	42
recháccn	rechacen	ocr_confusion	6.31e-07	2	42
cyrcón	circón	historical	0.0	1	42
esooliosls	escoliosis	ocr_confusion	0.0	2	42
perimtido	permitido	typo	2.34e-05	2	42
erróncamenté	erróneamente	ocr_confusion	2.69e-06	2	42
díe	díez	typo	2.24e-06	1	42
emmprendida	emprendida	typo	8.71e-07	1	42
fértiles	fértiles	identity	1.91e-06	0	42
eñtrantes	entrantes	ocr_confusion	8.32e-07	1	42
abellotqdo	abellotado	typo	0.0	1	42
irritabilidad	irritabilidad	identity	0.0	0	42
podecno	podenco	typo	0.0	2	42
muleetero	muletero	typo	0.0	1	42
cumpilo	cumplio	typo	5.75e-07	2	42
fransformarse	transformarse	ocr_confusion	3.09e-06	1	42
putréfacto	putrefacto	ocr_confusion	0.0	1	42
mallrapilío	maltrapillo	ocr_confusion	0.0	2	42
xabino	jabino	historical	0.0	1	42
médiquitlo	mediquillo	ocr_confusion	0.0	2	42
biológiças	biológicas	historical	3.16e-06	1	42
barájáf	barajas	ocr_confusion	1.74e-06	3	42
mastelek	masteleo	typo	0.0	1	42
ajjada	aijada	historical	0.0	1	42
pñeda	peda	typo	1.1e-06	1	42
bignoñiácéa	bignoniácea	ocr_confusion	0.0	2	42
eñjardar	enjardar	ocr_confusion	0.0	1	42
otndo	tondo	typo	0.0	2	42
monnaco	monaco	typo	8.71e-07	1	42
aparatosammente	aparatosamente	typo	0.0	1	42
pette	pete	typo	5.5e-06	1	42
confraseñar	contraseñar	ocr_confusion	0.0	1	42
habia	habia	identity	5.37e-05	0	42
desparpajar	desparpajar	identity	0.0	0	42
uituperio	vituperio	historical	0.0	1	42
haíaeucrda	halacuerda	ocr_confusion	0.0	3	42
involucrradas	involucradas	typo	3.47e-06	1	42
impostsrgable	impostergable	typo	0.0	1	42
apoltrlnamiento	apoltronamiento	typo	0.0	1	42
laberíntico	laberíntico	identity	0.0	0	42
cquipada	equipada	ocr_confusion	1.91e-06	1	42
sedn	send	typo	8.51e-07	2	42
sugen	surgen	typo	9.55e-06	1	42
didácticfos	didácticos	typo	1.05e-06	1	42
vísecra	víscera	typo	0.0	2	42
cacarear	cacarear	identity	0.0	0	42
rodio	rodio	identity	0.0	0	42
benezolanas	venezolanas	historical	3.98e-06	1	42
eelías	elías	typo	4.79e-06	1	42
agregádos	agregados	ocr_confusion	3.02e-06	1	42
álargadera	alargadera	ocr_confusion	0.0	1	42
divldcndo	dividendo	ocr_confusion	1.23e-06	2	42
súmvlas	súmulas	historical	0.0	1	42
saluo	salvo	historical	6.17e-05	1	42
confundidoor	confundidor	typo	0.0	1	42
criar	criar	identity	4.57e-06	0	42
remúñerador	remunerador	ocr_confusion	0.0	2	42
raeiones	raciones	ocr_confusion	2.19e-06	1	42
peliçula	pelicula	historical	1.1e-05	1	42
asesntada	asentada	typo	1.35e-06	1	42
possponer	posponer	typo	1.91e-06	1	42
moñopolizar	monopolizar	ocr_confusion	0.0	1	42
garetes	garete	typo	0.0	1	42
elevadamwnte	elevadamente	typo	0.0	1	42
dispersaroñ	dispersaron	ocr_confusion	6.76e-07	1	42
jugárnoslá	jugárnosla	ocr_confusion	0.0	1	42
idiotez	idiotez	identity	1.95e-06	0	42
dónó	donó	ocr_confusion	2.19e-06	1	42
armamentístiço	armamentístico	historical	0.0	1	42
çostumbrista	costumbrista	historical	6.17e-07	1	42
sosameñte	sosamente	ocr_confusion	0.0	1	42
diceñte	dicente	ocr_confusion	0.0	1	42
dispar	dispara	typo	6.46e-06	1	42
indcmorable	indemorable	ocr_confusion	0.0	1	42
blasfemadfor	blasfemador	typo	0.0	1	42
oçasionó	ocasionó	historical	2.45e-06	1	42
pimpinéla	pimpinela	ocr_confusion	0.0	1	42
çálculo	cálculo	historical	1.48e-05	1	42
dsecansadamente	descansadamente	typo	0.0	2	42
húclanla	húelanla	ocr_confusion	0.0	1	42
ingeníosa	ingeniosa	ocr_confusion	1.7e-06	1	42
titoplaneton	fitoplancton	ocr_confusion	0.0	2	42
chotacsbras	chotacabras	typo	0.0	1	42
campseino	campesino	typo	5.5e-06	2	42
miocional	miccional	ocr_confusion	0.0	1	42
florida	florida	identity	1.7e-05	0	42
infracfores	infractores	ocr_confusion	1.32e-06	1	42
cxpiár	expiar	ocr_confusion	0.0	2	42
desplazados	desplazados	identity	3.31e-06	0	42
rccodir	recodir	ocr_confusion	0.0	1	42
tecnologia	tecnologia	identity	3.98e-06	0	42
cíviuca	cívica	typo	7.59e-06	1	42
aptehensivo	aprehensivo	typo	0.0	1	42
oonhortar	conhortar	ocr_confusion	0.0	1	42
baniaño	baniano	ocr_confusion	0.0	1	42
preconocerd	preconocer	typo	0.0	1	42
socja	socia	historical	2.4e-06	1	42
espnas	espinas	typo	5.37e-06	1	42
cirrculado	circulado	typo	5.62e-07	1	42
difte	dicte	typo	1.23e-06	1	42
órioi	oriol	ocr_confusion	1.2e-06	2	42
ppavitonto	pavitonto	typo	0.0	1	42
parezço	parezco	historical	5.89e-06	1	42
diádemado	diademado	ocr_confusion	0.0	1	42
himeneo	himeneo	identity	0.0	0	42
rvíz	ruíz	historical	1.23e-06	1	42
santjficador	santificador	historical	0.0	1	42
sitvándose	situándose	historical	6.31e-07	1	42
susyrra	susurra	typo	8.51e-07	1	42
sepluagésimo	septuagésimo	ocr_confusion	0.0	1	42
circulaba	circulaba	identity	1.1e-06	0	42
caramclizar	caramelizar	ocr_confusion	0.0	1	42
miceonesio	micronesio	typo	0.0	1	42
trawpaso	traspaso	typo	4.27e-06	1	42
pedrlto	pedrito	ocr_confusion	1.41e-06	1	42
esealeccr	escalecer	ocr_confusion	0.0	2	42
djmiario	dimiario	historical	0.0	1	42
munieipáles	municipales	ocr_confusion	3.31e-05	2	42
dehormidad	deformidad	historical	6.17e-07	1	42
habitación	habitación	identity	4.68e-05	0	42
cion	zion	historical	7.76e-07	1	42
alqúifrán	alquitrán	ocr_confusion	8.32e-07	2	42
hijueleto	hijuelero	typo	0.0	1	42
subdesarrollok	subdesarrollo	typo	1.12e-06	1	42
pedagogíá	pedagogía	ocr_confusion	5.5e-06	1	42
linotipíá	linotipia	ocr_confusion	0.0	2	42
cablergafiar	cablegrafiar	typo	0.0	2	42
amarlilo	amarillo	ocr_confusion	2.14e-05	2	42
votáré	votaré	ocr_confusion	1.1e-06	1	42
deseñlosar	desenlosar	ocr_confusion	0.0	1	42
abrbara	barbara	typo	5.37e-06	2	42
ramificación	ramificación	identity	0.0	0	42
mastyín	mastín	typo	0.0	1	42
estrengue	estrenque	historical	0.0	1	42
inspeccines	inspecciones	typo	2.4e-06	1	42
garbaanzuelo	garbanzuelo	typo	0.0	1	42
ammplexo	amplexo	typo	0.0	1	42
cachirvlo	cachirulo	historical	0.0	1	42
puslear	pulsear	typo	0.0	2	42
pegaarse	pegarse	typo	9.77e-07	1	42
temugar	remugar	typo	0.0	1	42
cortisnoa	cortisona	typo	0.0	2	42
jeremi	jeremy	historical	4.57e-06	1	42
flujye	fluye	typo	4.17e-06	1	42
rasvrador	rasurador	historical	0.0	1	42
kcioso	ocioso	typo	0.0	1	42
embeyecimiento	embellecimiento	historical	6.03e-07	2	42
danes	clanes	ocr_confusion	2.09e-06	2	42
hallero	fallero	historical	0.0	1	42
disa	elisa	ocr_confusion	4.47e-06	2	42
ajilar	axilar	historical	0.0	1	42
dcsalíñar	desaliñar	ocr_confusion	0.0	2	42
prlmer	primer	ocr_confusion	0.000417	1	42
encantaemnto	encantamento	typo	0.0	2	42
ruubricar	rubricar	typo	0.0	1	42
disociación	disociación	identity	6.46e-07	0	42
sujctos	sujetos	ocr_confusion	1.55e-05	1	42
eñténdlo	entendio	ocr_confusion	7.08e-07	3	42
délimitada	delimitada	ocr_confusion	5.75e-07	1	42
pérturbar	perturbar	ocr_confusion	1.35e-06	1	42
gordolobo	gordolobo	identity	0.0	0	42
bajos	bajos	identity	3.55e-05	0	42
jifoideo	xifoideo	historical	0.0	1	42
oín	orín	typo	0.0	1	42
estrellamiwnto	estrellamiento	typo	0.0	1	42
desbinzar	desbinzar	identity	0.0	0	42
svstos	sustos	historical	8.51e-07	1	42
soltó	soltó	identity	3.24e-06	0	42
fracasaqron	fracasaron	typo	1.62e-06	1	42
eñcharear	encharcar	ocr_confusion	0.0	2	42
lidcrando	liderando	ocr_confusion	2.19e-06	1	42
prrnatal	prenatal	typo	8.13e-07	1	42
erquíamos	erguíamos	historical	0.0	1	42
protefto	protesto	ocr_confusion	1.29e-06	1	42
apíadar	apiadar	ocr_confusion	0.0	1	42
diíuyenfe	diluyente	ocr_confusion	0.0	2	42
pasraían	pasarían	typo	1.66e-06	2	42
cultivadorse	cultivadores	typo	9.55e-07	2	42
cxperimentando	experimentando	ocr_confusion	3.47e-06	1	42
